"ORDER__INIT","PROFILE_YEAR__C","SECTION_NAME__C","TOPIC_TITLE__C","QUESTION_NUMBER__C","LABEL_TEXT__C"
1,"2015","Section I","1. Structure of State Banking Departments",1,"Is your department independent, or part of a larger agency?"
2,"2015","Section I","1. Structure of State Banking Departments",,"If part of a larger agency provide its name:"
3,"2015","Section I","1. Structure of State Banking Departments",2,"To the best of your knowledge, in the next year is your department going to be affected by a state mandated reorganization?"
4,"2015","Section I","1. Structure of State Banking Departments",,"If yes, please explain."
5,"2015","Section I","2. Institutions Supervised",3,"Please indicate the types of institutions over which your department has supervisory authority and indicate the number and total assets of each type. Please provide information as of 12/31/2015."
6,"2015","Section I","2. Institutions Supervised",,"Authority to Supervise"
7,"2015","Section I","2. Institutions Supervised",,"Number  Supervised"
8,"2015","Section I","2. Institutions Supervised",,"Total Assets, if applicable (Actual Dollar Amount)"
9,"2015","Section I","2. Institutions Supervised",,"Commercial Banks"
10,"2015","Section I","2. Institutions Supervised",,"Commercial Banks -- Authority to Supervise"
11,"2015","Section I","2. Institutions Supervised",,"Commercial Banks -- Number Supervised"
12,"2015","Section I","2. Institutions Supervised",,"Commercial Banks -- Total Assets if applicable"
13,"2015","Section I","2. Institutions Supervised",,"Savings Banks/Savings & Loans"
14,"2015","Section I","2. Institutions Supervised",,"Banker's Banks"
15,"2015","Section I","2. Institutions Supervised",,"Non-depository Trust Companies (Assets Under Management)"
16,"2015","Section I","2. Institutions Supervised",,"Industrial Loan Corporations"
17,"2015","Section I","2. Institutions Supervised",,"Foreign Bank Organizations & Foreign Agencies"
18,"2015","Section I","2. Institutions Supervised",,"One Bank Holding Companies"
19,"2015","Section I","2. Institutions Supervised",,"Multi-Bank Holding Companies"
20,"2015","Section I","2. Institutions Supervised",,"Credit Unions"
21,"2015","Section I","2. Institutions Supervised",,"Credit Card Banks"
22,"2015","Section I","2. Institutions Supervised",,"Credit Card Banks -- Authority to Supervise"
23,"2015","Section I","2. Institutions Supervised",,"Credit Card Banks -- Number Supervised"
24,"2015","Section I","2. Institutions Supervised",,"Credit Card Banks -- Total Assets if applicable"
25,"2015","Section I","2. Institutions Supervised",,"Other Depository"
26,"2015","Section I","2. Institutions Supervised",,"Authority to Supervise"
27,"2015","Section I","2. Institutions Supervised",,"Number Supervised"
28,"2015","Section I","2. Institutions Supervised",,"Minimum Bond/Start-up Requirements (Actual Dollar Amount)"
29,"2015","Section I","2. Institutions Supervised",,"Securities Broker / Dealers & Firms"
30,"2015","Section I","2. Institutions Supervised",,"Check Cashers"
31,"2015","Section I","2. Institutions Supervised",,"Money Transmitters/ Sale of Checks"
32,"2015","Section I","2. Institutions Supervised",,"Consumer Finance Companies"
33,"2015","Section I","2. Institutions Supervised",,"Licensed Lenders"
34,"2015","Section I","2. Institutions Supervised",,"Mortgage Companies"
35,"2015","Section I","2. Institutions Supervised",,"Mortgage Company Branches"
36,"2015","Section I","2. Institutions Supervised",,"Mortgage Loan Originators"
37,"2015","Section I","2. Institutions Supervised",,"Mortgage Servicers"
38,"2015","Section I","2. Institutions Supervised",,"Student Lending"
39,"2015","Section I","2. Institutions Supervised",,"Other Servicing"
40,"2015","Section I","2. Institutions Supervised",,"Debt Collection"
41,"2015","Section I","2. Institutions Supervised",,"Prepaid Cards"
42,"2015","Section I","2. Institutions Supervised",,"Virtual Currency"
43,"2015","Section I","2. Institutions Supervised",,"Escrow Agents"
44,"2015","Section I","2. Institutions Supervised",,"Payday Lenders"
45,"2015","Section I","2. Institutions Supervised",,"Title Lenders"
46,"2015","Section I","2. Institutions Supervised",,"Pawnshops"
47,"2015","Section I","2. Institutions Supervised",,"Insurance Agents & Companies"
48,"2015","Section I","2. Institutions Supervised",,"Appraisers"
49,"2015","Section I","2. Institutions Supervised",,"Credit Counselors"
50,"2015","Section I","2. Institutions Supervised",,"Financial Advisors"
51,"2015","Section I","2. Institutions Supervised",,"Technology Service Providers (Only include technology service providers that have a physical location in your state)"
52,"2015","Section I","2. Institutions Supervised",,"Other Non-Depository"
53,"2015","Section I","2. Institutions Supervised",4,"Does your department supervise any Non-FDIC insured banks?"
54,"2015","Section I","2. Institutions Supervised",,"Number Supervised"
55,"2015","Section I","2. Institutions Supervised",,"Total Assets, if applicable (Actual Dollar Amount)"
56,"2015","Section I","2. Institutions Supervised",,"If yes, do they maintain private deposit insurance?"
57,"2015","Section I","2. Institutions Supervised",5,"Does your department supervise any non-federally insured credit unions?"
58,"2015","Section I","2. Institutions Supervised",,"Number Supervised"
59,"2015","Section I","2. Institutions Supervised",,"Total Assets, if applicable (Actual Dollar Amount)"
60,"2015","Section I","2. Institutions Supervised",6,"Please indicate the number of 4 and 5 rated banks."
61,"2015","Section I","2. Institutions Supervised",,"CY 2015"
62,"2015","Section I","2. Institutions Supervised",,"At the beginning of the calendar year (CY)"
63,"2015","Section I","2. Institutions Supervised",,"Added during the calendar year"
64,"2015","Section I","2. Institutions Supervised",,"Indicate the number of institutions improved  to 3 or higher for the CY"
65,"2015","Section I","2. Institutions Supervised",,"At the end of the calendar year"
66,"2015","Section I","2. Institutions Supervised",,"Indicate the number of failed institutions for the CY"
67,"2015","Section I","2. Institutions Supervised",7,"Please indicate the number of enforcement actions on Insured Depositories (Please do not include information for credit unions)"
68,"2015","Section I","2. Institutions Supervised",,"CY 2015State-Only"
69,"2015","Section I","2. Institutions Supervised",,"CY 2015Joint withFederal Agency"
70,"2015","Section I","2. Institutions Supervised",,"Enforcement Actions at beginning of year"
71,"2015","Section I","2. Institutions Supervised",,"Deleted during the calendar year"
72,"2015","Section I","2. Institutions Supervised",,"Added during the calendar year"
73,"2015","Section I","2. Institutions Supervised",,"At the end of the calendar year"
74,"2015","Section I","2. Institutions Supervised",,"Number by Type"
75,"2015","Section I","2. Institutions Supervised",,"C&D"
76,"2015","Section I","2. Institutions Supervised",,"MOU"
77,"2015","Section I","2. Institutions Supervised",,"Written Agreement"
78,"2015","Section I","2. Institutions Supervised",,"Board Resolution"
79,"2015","Section I","2. Institutions Supervised",,"Consent Orders"
80,"2015","Section I","2. Institutions Supervised",,"Other"
81,"2015","Section I","2. Institutions Supervised",8,"Please indicate the number of enforcement actions on Bank Holding Companies."
82,"2015","Section I","2. Institutions Supervised",,"CY 2015State-Only"
83,"2015","Section I","2. Institutions Supervised",,"CY 2015Joint with  Federal Agency"
84,"2015","Section I","2. Institutions Supervised",,"Enforcement Actions at beginning of year"
85,"2015","Section I","2. Institutions Supervised",,"Deleted during the calendar year"
86,"2015","Section I","2. Institutions Supervised",,"Added during the calendar year"
87,"2015","Section I","2. Institutions Supervised",,"At the end of the calendar year"
88,"2015","Section I","2. Institutions Supervised",,"Number By Type"
89,"2015","Section I","2. Institutions Supervised",,"C&D"
90,"2015","Section I","2. Institutions Supervised",,"MOU"
91,"2015","Section I","2. Institutions Supervised",,"Written Agreement"
92,"2015","Section I","2. Institutions Supervised",,"Board Resolution"
93,"2015","Section I","2. Institutions Supervised",,"Other"
94,"2015","Section I","3. State Banking Department Budgets",,"Fiscal Year Begins (Please use  MM/DD format, i.e. July 1st  = 07/01)"
95,"2015","Section I","3. State Banking Department Budgets",,"Current FY(2015-2016)"
96,"2015","Section I","3. State Banking Department Budgets",,"Total Budget Approved (Actual Dollar Amount)"
97,"2015","Section I","3. State Banking Department Budgets",,"Total Budget Approved (Actual Dollar Amount) -- Previous FY"
98,"2015","Section I","3. State Banking Department Budgets",,"Total Budget Approved (Actual Dollar Amount) -- Current FY"
99,"2015","Section I","3. State Banking Department Budgets",,"Amount Allocated to Commercial Bank Supervision"
100,"2015","Section I","3. State Banking Department Budgets",,"Amount Allocated to Commercial Bank Supervision -- Previous FY"
101,"2015","Section I","3. State Banking Department Budgets",,"Amount Allocated for Supervision of Foreign Banking Organizations/Agencies*"
102,"2015","Section I","3. State Banking Department Budgets",,"Amount Allocated for Supervision of Foreign BankingOrganizations/Agencies -- Previous FY"
103,"2015","Section I","3. State Banking Department Budgets",,"Amount Allocated for Supervision of Foreign BankingOrganizations/Agencies -- Current FY"
104,"2015","Section I","3. State Banking Department Budgets",,"What was your department’s actual income for the previous Fiscal Year budget (2014-2015)?"
105,"2015","Section I","3. State Banking Department Budgets",,"What was your department’s actual income for the previous Fiscal Year budget?"
106,"2015","Section I","3. State Banking Department Budgets",,"What were your department’s actual expenditures for the previous Fiscal Year budget (2014-2015)?"
107,"2015","Section I","3. State Banking Department Budgets",,"What were your department’s actual expenditures for the previous Fiscal Year budget?"
108,"2015","Section I","3. State Banking Department Budgets",,"Current FY(2015-2016)"
109,"2015","Section I","3. State Banking Department Budgets",,"Department/Division Total Non-depository Budget"
110,"2015","Section I","3. State Banking Department Budgets",,"Amount Allocated for Supervision of Mortgage Providers"
111,"2015","Section I","3. State Banking Department Budgets",,"Amount Allocated for Supervision of Money Services Businesses"
112,"2015","Section I","3. State Banking Department Budgets",,"Amount Allocated for Supervision of Consumer Finance Companies"
113,"2015","Section I","3. State Banking Department Budgets",,"Amount Allocated for Other Non-Depositories"
114,"2015","Section I","3. State Banking Department Budgets",,"Budgeted Training Expenses (Dollar Amount) Current FY (2015-2016)"
115,"2015","Section I","3. State Banking Department Budgets",,"Tuition"
116,"2015","Section I","3. State Banking Department Budgets",,"Travel"
117,"2015","Section I","3. State Banking Department Budgets",,"Cost of internal training conferences"
118,"2015","Section I","3. State Banking Department Budgets",,"Budgeted (Current) Expenses"
119,"2015","Section I","3. State Banking Department Budgets",12,"What is your department's net contribution to your State's general fund in the previous FY (2014-2015)?"
120,"2015","Section I","3. State Banking Department Budgets",13,"Does your department have authority to rebate/discount assessments?"
121,"2015","Section I","3. State Banking Department Budgets",,"Did your department rebate funds to the industry in the previous FY (2014-2015)?"
122,"2015","Section I","4. Revenue and Spending Governance",14,"Funding characteristics of department budget (select all that apply):"
123,"2015","Section I","4. Revenue and Spending Governance",,"Appropriations by state legislature"
124,"2015","Section I","4. Revenue and Spending Governance",,"Dedicated Fund"
125,"2015","Section I","4. Revenue and Spending Governance",,"Part of General Fund"
126,"2015","Section I","4. Revenue and Spending Governance",,"Established by department despite legislative review or approval"
127,"2015","Section I","4. Revenue and Spending Governance",,"Approved by Line Item"
128,"2015","Section I","4. Revenue and Spending Governance",,"Approved by Total"
129,"2015","Section I","4. Revenue and Spending Governance",,"Insured Depositories Above $10 Billion"
130,"2015","Section I","4. Revenue and Spending Governance",,"Insured Depositories Below $10 Billion"
131,"2015","Section I","4. Revenue and Spending Governance",,"Securities"
132,"2015","Section I","4. Revenue and Spending Governance",,"Insurance"
133,"2015","Section I","4. Revenue and Spending Governance",,"State-Licensed Mortgage Providers"
134,"2015","Section I","4. Revenue and Spending Governance",,"Money Services Businesses (MSBs)"
135,"2015","Section I","4. Revenue and Spending Governance",,"Payday Lenders"
136,"2015","Section I","4. Revenue and Spending Governance",,"Consumer Finance Companies"
137,"2015","Section I","4. Revenue and Spending Governance",,"Other Non-Depositories"
138,"2015","Section I","4. Revenue and Spending Governance",,"Other Entities (please specify)"
139,"2015","Section I","4. Revenue and Spending Governance",,"Hourly Exam Charges"
140,"2015","Section I","4. Revenue and Spending Governance",,"(Total should be 100%)"
141,"2015","Section I","4. Revenue and Spending Governance",,"License / Application Fees"
142,"2015","Section I","4. Revenue and Spending Governance",,"Assessments"
143,"2015","Section I","4. Revenue and Spending Governance",,"Fines"
144,"2015","Section I","4. Revenue and Spending Governance",,"Enforcement Actions"
145,"2015","Section I","4. Revenue and Spending Governance",,"Other Fees (please specify)"
146,"2015","Section I","4. Revenue and Spending Governance",,"(Total should be 100%)"
147,"2015","Section I","5. Assessments and Fee Structure",16,"Does your department charge an hourly bank examination fee?"
148,"2015","Section I","5. Assessments and Fee Structure",,"Hourly Fee"
149,"2015","Section I","5. Assessments and Fee Structure",,"If yes, does this include specialty examinations (e.g., Trust, IT, etc.)?"
150,"2015","Section I","5. Assessments and Fee Structure",17,"Does your department currently have a fee sharing agreement with another state?"
151,"2015","Section I","5. Assessments and Fee Structure",,"If no, does your state permit such agreements?"
152,"2015","Section I","5. Assessments and Fee Structure",18,"Has your department ever entered or are you currently entered into an agreement with other states to share examiner resources?"
153,"2015","Section I","5. Assessments and Fee Structure",,"If no, does your state permit such agreements?"
154,"2015","Section I","6. Additional Assessment Information",19,"Does your state set statutory limits on bank assessments?"
155,"2015","Section I","6. Additional Assessment Information",,"If yes, what are the limits on the assessments?"
156,"2015","Section I","6. Additional Assessment Information",20,"Which of the following are used in your department’s assessment calculation? Select all that apply."
157,"2015","Section I","6. Additional Assessment Information",,"Total Assets"
158,"2015","Section I","6. Additional Assessment Information",,"Deposit Base"
159,"2015","Section I","6. Additional Assessment Information",,"Number of Branches"
160,"2015","Section I","6. Additional Assessment Information",,"Trust Assets"
161,"2015","Section I","6. Additional Assessment Information",,"Other"
162,"2015","Section I","6. Additional Assessment Information",21,"What are the assessments and fees paid by institutions at the following thresholds?"
163,"2015","Section I","6. Additional Assessment Information",,"Minimum Fee"
164,"2015","Section I","6. Additional Assessment Information",,"Maximum Fee"
165,"2015","Section I","6. Additional Assessment Information",,"$50 million institution"
166,"2015","Section I","6. Additional Assessment Information",,"$100 million institution"
167,"2015","Section I","6. Additional Assessment Information",,"$500 million institution"
168,"2015","Section I","6. Additional Assessment Information",,"$1 Billion institution"
169,"2015","Section I","6. Additional Assessment Information",22,"What is your department's assessment period?"
170,"2015","Section I","6. Additional Assessment Information",23,"Does your state accept ACH payments for your annual assessment?"
171,"2015","Section I","7. State Bank Supervisors",24,"How is your state bank supervisor appointed (select one)?"
172,"2015","Section I","7. State Bank Supervisors",25,"Does the state bank supervisor serve for a specified or unspecified term?"
173,"2015","Section I","7. State Bank Supervisors",,"If your state bank supervisor serves for a specific term, what is the length of that term? (in years)"
174,"2015","Section I","7. State Bank Supervisors",26,"Does the State/Agency set minimum requirements for state bank supervisors?(Select all that apply)"
175,"2015","Section I","7. State Bank Supervisors",,"Industry Experience"
176,"2015","Section I","7. State Bank Supervisors",,"Regulatory Experience"
177,"2015","Section I","7. State Bank Supervisors",,"Current Banker"
178,"2015","Section I","7. State Bank Supervisors",,"Education"
179,"2015","Section I","7. State Bank Supervisors",,"Residency"
180,"2015","Section I","7. State Bank Supervisors",,"Other (Please Specify)"
181,"2015","Section I","7. State Bank Supervisors",27,"Does your state impose employment restrictions on any of the following personnel after they leave the agency?"
182,"2015","Section I","7. State Bank Supervisors",,"State Bank Supervisors"
183,"2015","Section I","7. State Bank Supervisors",,"Examiners"
184,"2015","Section I","7. State Bank Supervisors",,"Other Employees"
185,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Characteristics of the State Examiner Workforce "
186,"2015","Section I","8. Characteristics of the State Examiner Workforce",28,"Number of Bank Examiners in the Department"
187,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Total Number of Examiners (as of 2015-12-31)"
188,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Experience of Examiners"
189,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"<2 Yrs"
190,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"2 to 5 Yrs"
191,"2015","Section I","8. Characteristics of the State Examiner Workforce",,">5 to 15 Yrs"
192,"2015","Section I","8. Characteristics of the State Examiner Workforce",,">15 to 25 Yrs"
193,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"> 25 Yrs"
194,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Number of Examiners"
195,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"How many examiner Full-Time-Equivalent (FTE) positions do you have allocated to each of the following, and how many others are cross-trained?"
196,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Number of Full-Time-Equivalent Positions"
197,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Number of Other Examiners Cross-Trained"
198,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Safety and Soundness Examiners"
199,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"IS Examiners"
200,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Trust Examiners"
201,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Holding Company Examiners"
202,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Compliance Examiners"
203,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"BSA Examiners"
204,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Other Examiners"
205,"2015","Section I","8. Characteristics of the State Examiner Workforce",29,"Is any part of your examination staff unionized?"
206,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"If yes, what positions?"
207,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"If yes, what Union?"
208,"2015","Section I","8. Characteristics of the State Examiner Workforce",30,"What was the rate (percentage) of examiner turnover for CY 2015?*"
209,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Reason for Field Examiner Turnover"
210,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Number of Examiners"
211,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Retirement"
212,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Resignation with no reason given"
213,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Resignation to work with Federal Agency"
214,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Resignation to work in a financial institution (bank, holding company, trust company, etc.)"
215,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Resignation to work in private sector other than a financial institution"
216,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Transfer to work with other State Agency"
217,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Termination"
218,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Death"
219,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Promotion to Office"
220,"2015","Section I","8. Characteristics of the State Examiner Workforce",,"Other (Please explain)"
221,"2015","Section I","9. Salary Ranges",,"Salary Information"
222,"2015","Section I","9. Salary Ranges",31,"Please complete the salary information table below. ENTER YEARLY SALARY FIGURES IN THOUSANDS, i.e. 58 for a salary of $58,000. Refer to the position equivalency descriptions by mousing over the position name."
223,"2015","Section I","9. Salary Ranges",,"Position"
224,"2015","Section I","9. Salary Ranges",,"Number of incumbents"
225,"2015","Section I","9. Salary Ranges",,"Minimum of Base Range"
226,"2015","Section I","9. Salary Ranges",,"Maximum of Base Range"
227,"2015","Section I","9. Salary Ranges",,"Minimum ACTUAL salary"
228,"2015","Section I","9. Salary Ranges",,"Average ACTUAL Salary"
229,"2015","Section I","9. Salary Ranges",,"Maximum ACTUAL salary"
230,"2015","Section I","9. Salary Ranges",,"Average Variable/Bonus/ Incentive Compensation Paid per Incumbent"
231,"2015","Section I","9. Salary Ranges",,"Commissioner"
232,"2015","Section I","9. Salary Ranges",,"Deputy Commissioner"
233,"2015","Section I","9. Salary Ranges",,"Chief Examiner"
234,"2015","Section I","9. Salary Ranges",,"Regional Manager"
235,"2015","Section I","9. Salary Ranges",,"Review Examiner"
236,"2015","Section I","9. Salary Ranges",,"Specialty Examiner"
237,"2015","Section I","9. Salary Ranges",,"Senior Bank Examiner"
238,"2015","Section I","9. Salary Ranges",,"Bank Examiner"
239,"2015","Section I","9. Salary Ranges",,"Bank Examiner: Number of Incumbents"
240,"2015","Section I","9. Salary Ranges",,"Associate Bank Examiner"
241,"2015","Section I","9. Salary Ranges",,"Entry-level Bank Examiner"
